id,config_id,updated_at,trading_date,cashflow,total_assets,positions
a911b29b-9264-4ae6-aea4-674104657d62,a4584645-71eb-4031-bd9a-01cb6ca357aa,2025-05-25 07:04:42.866529+00,2025-05-23 00:00:00+00,15771.53,98859.36,"{""KO"": {""value"": 19664.98, ""shares"": 274}, ""AXP"": {""value"": 14546.22, ""shares"": 51}, ""BAC"": {""value"": 14731.2, ""shares"": 341}, ""CVX"": {""value"": 24577.2, ""shares"": 180}, ""AAPL"": {""value"": 9568.23, ""shares"": 49}}"
ff6c66b6-9d78-44f6-adb5-28417f371f76,a4584645-71eb-4031-bd9a-01cb6ca357aa,2025-05-25 07:00:09.150949+00,2025-05-22 00:00:00+00,60.15,98813.52,"{""KO"": {""value"": 25041.28, ""shares"": 352}, ""AXP"": {""value"": 14646.18, ""shares"": 51}, ""BAC"": {""value"": 19706.05, ""shares"": 455}, ""CVX"": {""value"": 29493.22, ""shares"": 218}, ""AAPL"": {""value"": 9866.64, ""shares"": 49}}"
fa868f68-ac85-488e-b16c-dfcaffa4aee3,a4584645-71eb-4031-bd9a-01cb6ca357aa,2025-05-25 06:53:48.825554+00,2025-05-21 00:00:00+00,4356.18,99098.27,"{""KO"": {""value"": 25291.2, ""shares"": 352}, ""AXP"": {""value"": 10010.0, ""shares"": 35}, ""BAC"": {""value"": 19678.75, ""shares"": 455}, ""CVX"": {""value"": 24807.48, ""shares"": 183}, ""AAPL"": {""value"": 14954.66, ""shares"": 74}}"
72a5b191-3fdf-4a4d-896f-07910107909c,a4584645-71eb-4031-bd9a-01cb6ca357aa,2025-05-25 06:44:56.603059+00,2025-05-20 00:00:00+00,5606.52,100737.37,"{""KO"": {""value"": 25234.88, ""shares"": 352}, ""AXP"": {""value"": 14512.33, ""shares"": 49}, ""BAC"": {""value"": 20333.95, ""shares"": 455}, ""CVX"": {""value"": 25120.41, ""shares"": 183}, ""AAPL"": {""value"": 9929.28, ""shares"": 48}}"
97b52c96-d4b4-45ae-816e-7ca4a676f0e5,a4584645-71eb-4031-bd9a-01cb6ca357aa,2025-05-25 06:35:46.567413+00,2025-05-19 00:00:00+00,61.69,101330.20,"{""KO"": {""value"": 32584.29, ""shares"": 453}, ""AXP"": {""value"": 9876.9, ""shares"": 33}, ""BAC"": {""value"": 20370.35, ""shares"": 455}, ""CVX"": {""value"": 23404.81, ""shares"": 169}, ""AAPL"": {""value"": 15032.16, ""shares"": 72}}"
f255c6df-faca-4b3e-95d8-37ae95667135,74ecabb0-48d9-44b8-b929-1f513bd03fc1,2025-05-25 06:25:09.541502+00,2025-05-23 00:00:00+00,57220.51,100040.56,"{""KO"": {""value"": 10909.04, ""shares"": 152}, ""AXP"": {""value"": 9697.48, ""shares"": 34}, ""BAC"": {""value"": 4881.6, ""shares"": 113}, ""CVX"": {""value"": 7373.16, ""shares"": 54}, ""AAPL"": {""value"": 9958.77, ""shares"": 51}}"
527f3f53-9adf-4c48-bb65-c1a09c6f6d90,74ecabb0-48d9-44b8-b929-1f513bd03fc1,2025-05-25 06:24:06.280426+00,2025-05-22 00:00:00+00,57358.84,100137.81,"{""KO"": {""value"": 10813.28, ""shares"": 152}, ""AXP"": {""value"": 14933.36, ""shares"": 52}, ""BAC"": {""value"": 4894.03, ""shares"": 113}, ""CVX"": {""value"": 7305.66, ""shares"": 54}, ""AAPL"": {""value"": 4832.64, ""shares"": 24}}"
1dfd6343-f10c-4b79-b04f-71db8f4011dc,74ecabb0-48d9-44b8-b929-1f513bd03fc1,2025-05-25 06:22:50.103001+00,2025-05-21 00:00:00+00,48368.61,100199.91,"{""KO"": {""value"": 10921.2, ""shares"": 152}, ""AXP"": {""value"": 19448.0, ""shares"": 68}, ""BAC"": {""value"": 4887.25, ""shares"": 113}, ""CVX"": {""value"": 11522.6, ""shares"": 85}, ""AAPL"": {""value"": 5052.25, ""shares"": 25}}"
3e8b9f10-524a-44c0-99e8-c53ae5ff6464,74ecabb0-48d9-44b8-b929-1f513bd03fc1,2025-05-25 06:21:40.356082+00,2025-05-20 00:00:00+00,49218.50,101228.23,"{""KO"": {""value"": 10896.88, ""shares"": 152}, ""AXP"": {""value"": 20139.56, ""shares"": 68}, ""BAC"": {""value"": 5049.97, ""shares"": 113}, ""CVX"": {""value"": 15923.32, ""shares"": 116}, ""AAPL"": {""value"": 0.0, ""shares"": 0}}"
3da01e33-041d-401c-a884-1314f280e9b1,920701f3-3447-49d8-9b77-f1f713fd609c,2025-05-25 06:21:37.378344+00,2025-05-23 00:00:00+00,54668.65,98622.23,"{""KO"": {""value"": 4880.36, ""shares"": 68}, ""AXP"": {""value"": 9697.48, ""shares"": 34}, ""BAC"": {""value"": 9806.4, ""shares"": 227}, ""CVX"": {""value"": 14882.86, ""shares"": 109}, ""AAPL"": {""value"": 4686.48, ""shares"": 24}}"
b55752f3-77a3-4240-a99c-a51d1e530076,74ecabb0-48d9-44b8-b929-1f513bd03fc1,2025-05-25 06:20:28.792771+00,2025-05-19 00:00:00+00,34912.32,101797.05,"{""KO"": {""value"": 10933.36, ""shares"": 152}, ""AXP"": {""value"": 20352.4, ""shares"": 68}, ""BAC"": {""value"": 0.0, ""shares"": 0}, ""CVX"": {""value"": 20358.03, ""shares"": 147}, ""AAPL"": {""value"": 15240.94, ""shares"": 73}}"
ef9eb591-b359-4b95-914f-1ff86e5bb635,74ecabb0-48d9-44b8-b929-1f513bd03fc1,2025-05-25 06:19:00.764098+00,2025-05-16 00:00:00+00,5521.31,102677.79,"{""KO"": {""value"": 10944.0, ""shares"": 152}, ""AXP"": {""value"": 20380.96, ""shares"": 68}, ""BAC"": {""value"": 20468.02, ""shares"": 458}, ""CVX"": {""value"": 25293.8, ""shares"": 178}, ""AAPL"": {""value"": 20069.7, ""shares"": 95}}"
263f96fe-93b8-4bdb-90b0-0154a35e70f4,74ecabb0-48d9-44b8-b929-1f513bd03fc1,2025-05-25 06:17:23.96488+00,2025-05-15 00:00:00+00,4960.16,102499.29,"{""KO"": {""value"": 5442.36, ""shares"": 76}, ""AXP"": {""value"": 20369.4, ""shares"": 68}, ""BAC"": {""value"": 26317.34, ""shares"": 593}, ""CVX"": {""value"": 25322.28, ""shares"": 178}, ""AAPL"": {""value"": 20087.75, ""shares"": 95}}"
