id,config_id,updated_at,cashflow,total_assets,positions
d101a001-0001-4001-a001-100000000001,a4b372ae-f3b0-48be-a7e5-2d3a6645e062,2025-03-01 12:30:00.000000+00,100000.00,100000.00,{}
d101a001-0001-4001-a001-100000000002,a4b372ae-f3b0-48be-a7e5-2d3a6645e062,2025-03-02 12:30:00.000000+00,60000.00,101500.00,"{""MSFT"":{""value"":20750.00,""shares"":50},""AAPL"":{""value"":20750.00,""shares"":100}}"
d101a001-0001-4001-a001-100000000003,a4b372ae-f3b0-48be-a7e5-2d3a6645e062,2025-03-03 12:30:00.000000+00,60000.00,102800.00,"{""MSFT"":{""value"":21400.00,""shares"":50},""AAPL"":{""value"":21400.00,""shares"":100}}"
d101a001-0001-4001-a001-100000000004,a4b372ae-f3b0-48be-a7e5-2d3a6645e062,2025-03-04 12:30:00.000000+00,60000.00,102000.00,"{""MSFT"":{""value"":21000.00,""shares"":50},""AAPL"":{""value"":21000.00,""shares"":100}}"
d101a001-0001-4001-a001-100000000005,a4b372ae-f3b0-48be-a7e5-2d3a6645e062,2025-03-05 12:30:00.000000+00,30000.00,104500.00,"{""MSFT"":{""value"":21500.00,""shares"":50},""AAPL"":{""value"":18000.00,""shares"":85},""NVDA"":{""value"":35000.00,""shares"":40}}"
d101a001-0001-4001-a001-100000000006,a4b372ae-f3b0-48be-a7e5-2d3a6645e062,2025-03-06 12:30:00.000000+00,30000.00,106200.00,"{""MSFT"":{""value"":22000.00,""shares"":50},""AAPL"":{""value"":18400.00,""shares"":85},""NVDA"":{""value"":35800.00,""shares"":40}}"
d101a001-0001-4001-a001-100000000007,a4b372ae-f3b0-48be-a7e5-2d3a6645e062,2025-03-07 12:30:00.000000+00,30000.00,105500.00,"{""MSFT"":{""value"":21800.00,""shares"":50},""AAPL"":{""value"":18100.00,""shares"":85},""NVDA"":{""value"":35600.00,""shares"":40}}"
d101a001-0001-4001-a001-100000000008,a4b372ae-f3b0-48be-a7e5-2d3a6645e062,2025-03-08 12:30:00.000000+00,30000.00,107800.00,"{""MSFT"":{""value"":22500.00,""shares"":50},""AAPL"":{""value"":18600.00,""shares"":85},""NVDA"":{""value"":36700.00,""shares"":40}}"
d101a001-0001-4001-a001-100000000009,a4b372ae-f3b0-48be-a7e5-2d3a6645e062,2025-03-09 12:30:00.000000+00,30000.00,110100.00,"{""MSFT"":{""value"":23000.00,""shares"":50},""AAPL"":{""value"":19100.00,""shares"":85},""NVDA"":{""value"":38000.00,""shares"":40}}"
d101a001-0001-4001-a001-100000000010,a4b372ae-f3b0-48be-a7e5-2d3a6645e062,2025-03-10 12:30:00.000000+00,10000.00,105200.00,"{""AAPL"":{""value"":19500.00,""shares"":85},""NVDA"":{""value"":39000.00,""shares"":40},""GOOGL"":{""value"":44000.00,""shares"":200}}"
d101a001-0001-4001-a001-100000000011,a4b372ae-f3b0-48be-a7e5-2d3a6645e062,2025-03-11 12:30:00.000000+00,10000.00,103600.00,"{""AAPL"":{""value"":19800.00,""shares"":85},""NVDA"":{""value"":40000.00,""shares"":40},""GOOGL"":{""value"":44500.00,""shares"":200}}"
d101a001-0001-4001-a001-100000000012,a4b372ae-f3b0-48be-a7e5-2d3a6645e062,2025-03-12 12:30:00.000000+00,10000.00,113800.00,"{""AAPL"":{""value"":19600.00,""shares"":85},""NVDA"":{""value"":39700.00,""shares"":40},""GOOGL"":{""value"":44500.00,""shares"":200}}"
d101a001-0001-4001-a001-100000000013,a4b372ae-f3b0-48be-a7e5-2d3a6645e062,2025-03-13 12:30:00.000000+00,10000.00,116000.00,"{""AAPL"":{""value"":20000.00,""shares"":85},""NVDA"":{""value"":40500.00,""shares"":40},""GOOGL"":{""value"":45500.00,""shares"":200}}"
d101a001-0001-4001-a001-100000000014,a4b372ae-f3b0-48be-a7e5-2d3a6645e062,2025-03-14 12:30:00.000000+00,10000.00,118200.00,"{""AAPL"":{""value"":20400.00,""shares"":85},""NVDA"":{""value"":41200.00,""shares"":40},""GOOGL"":{""value"":46600.00,""shares"":200}}"
d101a001-0001-4001-a001-100000000015,a4b372ae-f3b0-48be-a7e5-2d3a6645e062,2025-03-15 12:30:00.000000+00,10000.00,117500.00,"{""AAPL"":{""value"":20200.00,""shares"":85},""NVDA"":{""value"":40800.00,""shares"":40},""GOOGL"":{""value"":46500.00,""shares"":200}}"
